"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1975","MD02048.mzXML","LC-5993","Lecythidaceae","Eschweilera","coriacea","Eschweilera_coriacea","esc2cor",-14.1892,-68.3339
"1976","MD02049.mzXML","LC-5992","Rubiaceae","Elaeagia","mariae","Elaeagia_mariae","elamar",-14.1892,-68.3339
"1977","MD02050.mzXML","LC-6108","Rubiaceae","Ladenbergia","oblongifolia","Ladenbergia_oblongifolia","ladobl",-14.1892,-68.3339
"1978","MD02051.mzXML","LC-5988","Araliaceae","Dendropanax","yungasensis","Dendropanax_yungasensis","den2yun",-14.1892,-68.3339
"1979","MD02052.mzXML","LC-5990","Elaeocarpaceae","Sloanea","pubescens","Sloanea_pubescens","slopub",-14.1892,-68.3339
"1980","MD02053.mzXML","LC-6034","Moraceae","Helicostylis","tomentosa","Helicostylis_tomentosa","hel2tom",-14.1892,-68.3339
"1981","MD02054.mzXML","LC-6028","Lauraceae","Persea","peruviana","Persea_peruviana","per6per",-14.1892,-68.3339
"1982","MD02055.mzXML","LC-6029","Rubiaceae","Elaeagia","mariae","Elaeagia_mariae","elamar",-14.1892,-68.3339
"1983","MD02056.mzXML","LC-6030","Melastomataceae","Miconia","AF-17127","Miconia_AF-17127","mic1AF17127",-14.1892,-68.3339
"1984","MD02057.mzXML","LC-6049","Rubiaceae","Condaminea","corymbosa","Condaminea_corymbosa","con1cor",-14.1892,-68.3339
"1985","MD02058.mzXML","LC-6207","Melastomataceae","Miconia","punctata","Miconia_punctata","mic1pun",-14.1892,-68.3339
"1986","MD02059.mzXML","LC-6206","Lauraceae","Persea","peruviana","Persea_peruviana","per6per",-14.1892,-68.3339
"1987","MD02060.mzXML","LC-6205","Proteaceae","Panopsis","yungasensis","Panopsis_yungasensis","panyun",-14.1892,-68.3339
"1988","MD02061.mzXML","LC-6204","Anacardiaceae","Tapirira","guianensis","Tapirira_guianensis","tap1gui",-14.1892,-68.3339
"1989","MD02062.mzXML","LC-6203","Lauraceae","Ocotea","LC-6203","Ocotea_LC-6203","ocoLC6203",-14.1892,-68.3339
"1990","MD02063.mzXML","LC-6202","Linaceae","Roucheria","laxiflora","Roucheria_laxiflora","rou1lax",-14.1892,-68.3339
"1991","MD02064.mzXML","LC-6129","Fabaceae","Tachigali","alba","Tachigali_alba","tac2alb",-14.1892,-68.3339
"1992","MD02065.mzXML","LC-6132","Anacardiaceae","Tapirira","guianensis","Tapirira_guianensis","tap1gui",-14.1892,-68.3339
"1993","MD02066.mzXML","LC-6036","Rubiaceae","Faramea","candelabrum","Faramea_candelabrum","farcan",-14.1892,-68.3339
"1994","MD02067.mzXML","LC-6033","Rubiaceae","Schizocalyx","obovatus","Schizocalyx_obovatus","sch4obo",-14.1892,-68.3339
"1995","MD02068.mzXML","LC-6035","Pentaphylacaceae","Ternstroemia","circumscissilis","Ternstroemia_circumscissilis","ter2cir",-14.1892,-68.3339
